,,FID,sample_number,,photo,place_type,building_setting,surface_material,surface_type,line,subway_station_autofill,car_or_station,subway_station_surface,subway_car_surface,car_location,occupancy,taxi,airport,park_surface,bus_surface,light_type,traffic,number_of_air_vents,place_name,notes,audio,longitude,latitude,time,city
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,85,CDS16-BCN-116,21.06.2016,mdc_photo_mdc_6b49d0_1466517193531_1466517280320.jpg,sub_line,urban,Rubber,Escalator,,Sants EstaciÃ³,subway_station,,,,,,,,,,,,,Escalator handrail,,2.15028E+12,4.13884E+13,,Barcelona
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,86,CDS16-BCN-117,21.06.2016,mdc_photo_mdc_3db120_1466517313596_1466517383377.jpg,sub_line,urban,Metal,Handrail,,Sants EstaciÃ³,subway_station,,,,,,,,,,,,,,,2.15028E+12,4.13884E+13,,Barcelona
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,87,CDS16-BCN-118,21.06.2016,mdc_photo_mdc_87adaa_1466517795853_1466518034015.jpg,sub_line,urban,Metal,Turnstile,,Sants EstaciÃ³,subway_station,,,,,,,,,,,,,,,2.15028E+12,4.13884E+13,,Barcelona
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,88,CDS16-BCN-119,21.06.2016,mdc_photo_mdc_94aba0_1466518091771_1466518147592.jpg,sub_line,urban,Metal,Turnstile,,Sants EstaciÃ³,subway_station,,,,,,,,,,,,,Exit manual turnstiles,,2.15028E+12,4.13884E+13,,Barcelona
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,89,CDS16-BCN-120,21.06.2016,mdc_photo_mdc_421ed0_1466518607923_1466518679716.jpg,sub_line,urban,Metal,Poll,,Sants EstaciÃ³,subway_car,,Pole,middle,,,,,,,,,,,,2.15028E+12,4.13884E+13,,Barcelona
Andrea Tassinari & Aliaksei,Sants Estacio/Hospital clinic,90,CDS16-BCN-121,21.06.2016,no pic,sub_line,urban,Plastic,Seats,,Sants EstaciÃ³,subway_car,,Seat near door,middle,,,,,,,,,,,,2.15028E+12,4.13884E+13,,Barcelona
Lara de Llobet,Espanya,22,CDS16-BCN-127,21.06.2016,mdc_photo_cdv_photo_001_1466510329467.jpg,sub_line,urban,Metal,Kiosk,,Espanya,subway_station,,,,,,,,,,,,,,,2.17083E+12,4.14047E+13,,Barcelona
Lara de Llobet,Espanya,23,CDS16-BCN-128,21.06.2016,mdc_photo_mdc_bb018a_cdv_photo_002_1466510333907.jpg,sub_line,urban,Metal,Turnstil,,Espanya,subway_station,,,,,,,,,,,,,,,2.15314E+12,4.1375E+13,,Barcelona
Lara de Llobet,Espanya,24,CDS16-BCN-129,21.06.2016,mdc_photo_mdc_ac250e_cdv_photo_002_1466510336273.jpg,sub_line,urban,Wood,Handrail,,Espanya,subway_station,,,,,,,,,,,,,,,2.14629E+12,4.1376E+13,,Barcelona
Lara de Llobet,Espanya,25,CDS16-BCN-130,21.06.2016,no pic ,sub_line,urban,Metal,Poll,,Espanya,subway_car,,Pole,last,,,,,,,,,,,,2.14626E+12,4.1376E+13,,Barcelona
Lara de Llobet,Espanya,26,CDS16-BCN-131,21.06.2016,no pic ,sub_line,urban,Plastic,Seats,,Espanya,subway_car,,Center seat,last,,,,,,,,,,,,2.14626E+12,4.1376E+13,,Barcelona
Lara de Llobet,Espanya,27,CDS16-BCN-132,21.06.2016,no pic ,sub_line,urban,Air,Air,,Espanya,subway_car,,Other,,,,,,,,,,,Air (control),,2.14626E+12,4.1376E+13,,Barcelona
Lara de Llobet,Espanya,29,CDS16-BCN-134,21.06.2016,mdc_photo_mdc_bf4a20_cdv_photo_002_1466510342059.jpg,sub_line,urban,Air,Air,,Espanya,subway_station,,,,,,,,,,,,,Air control,,2.15314E+12,4.1375E+13,,Barcelona
Lara de Llobet,Espanya,28,CDS16-BCN-135,21.06.2016,mdc_photo_mdc_d3b32a_cdv_photo_002_1466510339392.jpg,sub_line,urban,Rubber,Escalator,,Espanya,subway_station,,,,,,,,,,,,,,,2.1463E+12,4.1376E+13,,Barcelona
Javier Quilez Oliete,Torassa,37,CDS16-BCN-148,21.06.2016,mdc_photo_mdc_b8d66a_1466510979990_1466511246780.jpg,sub_line,urban,Rubber,Escalator,,Torrassa,subway_station,,,,,,,,,,,,,L9,,2.11709E+12,4.13677E+13,,Barcelona
Javier Quilez Oliete,Torassa,40,CDS16-BCN-149,21.06.2016,mdc_photo_mdc_428790_1466511552372_1466511660893.jpg,sub_line,urban,Glass,Kiosk,,Torrassa,subway_station,,,,,,,,,electric_light,,,,L9,,2.11603E+12,4.13663E+13,,Barcelona
